Status;Funktion;Anrede;Straße;PLZ;Nachname;Vorname;Geburtsdatum;E-Mail;Telefon;Wohnort;Bundesland;Alter;Landkreis;Bemerkung
Angemeldet;TN;;;56355;Zimmer;Anna;15.03.2012;;0;Nastätten;Rheinland-Pfalz;14;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56348;Bauer;Ben;22.07.2010;;0;Kamp-Bornhofen;Rheinland-Pfalz;16;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56112;Fischer;Clara;08.11.2009;;0;Lahnstein;Rheinland-Pfalz;17;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56130;Müller;David;30.04.2011;;0;Bad Ems;Rheinland-Pfalz;15;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56368;Schneider;Emma;12.09.2008;;0;Katzenelnbogen;Rheinland-Pfalz;18;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56355;Weber;Felix;25.01.2013;;0;Nastätten;Rheinland-Pfalz;13;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56348;Wagner;Greta;03.06.2007;;0;Kamp-Bornhofen;Rheinland-Pfalz;19;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56112;Hoffmann;Henri;17.08.2014;;0;Lahnstein;Rheinland-Pfalz;12;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56130;Koch;Ida;29.12.2010;;0;Bad Ems;Rheinland-Pfalz;16;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56368;Richter;Jonas;05.02.2009;;0;Katzenelnbogen;Rheinland-Pfalz;17;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56355;Klein;Klara;18.05.2012;;0;Nastätten;Rheinland-Pfalz;14;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56348;Wolf;Leon;11.10.2011;;0;Kamp-Bornhofen;Rheinland-Pfalz;15;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56112;Schröder;Mia;23.03.2008;;0;Lahnstein;Rheinland-Pfalz;18;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56130;Neumann;Noah;07.07.2013;;0;Bad Ems;Rheinland-Pfalz;13;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56368;Schwarz;Olivia;14.09.2007;;0;Katzenelnbogen;Rheinland-Pfalz;19;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56355;Braun;Paul;28.11.2010;;0;Nastätten;Rheinland-Pfalz;16;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56348;Krüger;Quentina;02.04.2009;;0;Kamp-Bornhofen;Rheinland-Pfalz;17;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56112;Hartmann;Rudi;16.06.2014;;0;Lahnstein;Rheinland-Pfalz;12;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56130;Lange;Sophie;20.08.2011;;0;Bad Ems;Rheinland-Pfalz;15;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56368;Werner;Tim;09.01.2008;;0;Katzenelnbogen;Rheinland-Pfalz;18;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56355;Meier;Ulla;31.03.2012;;0;Nastätten;Rheinland-Pfalz;14;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56348;Schmitt;Viktor;24.05.2010;;0;Kamp-Bornhofen;Rheinland-Pfalz;16;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56112;Krause;Wilma;06.07.2007;;0;Lahnstein;Rheinland-Pfalz;19;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56130;Schulz;Xaver;19.09.2013;;0;Bad Ems;Rheinland-Pfalz;13;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56368;Maier;Yasmin;01.11.2009;;0;Katzenelnbogen;Rheinland-Pfalz;17;Rhein-Lahn-Kreis;
Angemeldet;TN;;;56355;Huber;Zoe;13.02.2020;;0;Nastätten;Rheinland-Pfalz;6;Rhein-Lahn-Kreis;
Angemeldet;MA;;;56348;Peters;Andreas;10.04.1985;;0;Kamp-Bornhofen;Rheinland-Pfalz;41;Rhein-Lahn-Kreis;
Angemeldet;MA;;;56112;Schmidt;Birgit;22.06.1990;;0;Lahnstein;Rheinland-Pfalz;36;Rhein-Lahn-Kreis;
Angemeldet;MA;;;56130;Lehmann;Christian;04.08.1988;;0;Bad Ems;Rheinland-Pfalz;38;Rhein-Lahn-Kreis;
Angemeldet;MA;;;56368;König;Diana;27.10.1992;;0;Katzenelnbogen;Rheinland-Pfalz;34;Rhein-Lahn-Kreis;
