Status;Funktion;Anrede;Straße;PLZ;Nachname;Vorname;Geburtsdatum;E-Mail;Telefon;Wohnort;Bundesland;Alter;Landkreis;Bemerkung
Angemeldet;TN;;;56564;Adler;Amelie;15.03.2012;;0;Neuwied;Rheinland-Pfalz;14;Landkreis Neuwied;
Angemeldet;TN;;;56564;Berger;Benjamin;22.07.2010;;0;Neuwied;Rheinland-Pfalz;16;Landkreis Neuwied;
Angemeldet;TN;;;56470;Conrad;Charlotte;08.11.2009;;0;Bad Marienberg;Rheinland-Pfalz;17;Westerwaldkreis;
Angemeldet;TN;;;56470;Dietrich;Daniel;30.04.2011;;0;Bad Marienberg;Rheinland-Pfalz;15;Westerwaldkreis;
Angemeldet;TN;;;57610;Engel;Elisabeth;12.09.2008;;0;Altenkirchen;Rheinland-Pfalz;18;Landkreis Altenkirchen;
Angemeldet;TN;;;57610;Fink;Florian;25.01.2013;;0;Altenkirchen;Rheinland-Pfalz;13;Landkreis Altenkirchen;
Angemeldet;TN;;;55116;Gruber;Gisela;03.06.2007;;0;Mainz;Rheinland-Pfalz;19;kreisfreie Stadt Mainz;
Angemeldet;TN;;;55116;Hansen;Hannes;17.08.2014;;0;Mainz;Rheinland-Pfalz;12;kreisfreie Stadt Mainz;
Angemeldet;TN;;;55411;Imhof;Isabella;29.12.2010;;0;Bingen;Rheinland-Pfalz;16;Landkreis Mainz-Bingen;
Angemeldet;TN;;;55411;Jung;Julian;05.02.2009;;0;Bingen;Rheinland-Pfalz;17;Landkreis Mainz-Bingen;
Angemeldet;TN;;;55545;Kaiser;Katharina;18.05.2012;;0;Bad Kreuznach;Rheinland-Pfalz;14;Landkreis Bad Kreuznach;
Angemeldet;TN;;;55545;Lorenz;Lukas;11.10.2011;;0;Bad Kreuznach;Rheinland-Pfalz;15;Landkreis Bad Kreuznach;
Angemeldet;TN;;;55232;Mayer;Marie;23.03.2008;;0;Alzey;Rheinland-Pfalz;18;Landkreis Alzey-Worms;
Angemeldet;TN;;;55232;Nagel;Nico;07.07.2013;;0;Alzey;Rheinland-Pfalz;13;Landkreis Alzey-Worms;
Angemeldet;TN;;;67655;Otto;Olivia;14.09.2007;;0;Kaiserslautern;Rheinland-Pfalz;19;kreisfreie Stadt Kaiserslautern;
Angemeldet;TN;;;67655;Pfeiffer;Phillip;28.11.2010;;0;Kaiserslautern;Rheinland-Pfalz;16;kreisfreie Stadt Kaiserslautern;
Angemeldet;TN;;;54290;Quandt;Quentin;02.04.2009;;0;Trier;Rheinland-Pfalz;17;kreisfreie Stadt Trier;
Angemeldet;TN;;;54290;Roth;Rebecca;16.06.2014;;0;Trier;Rheinland-Pfalz;12;kreisfreie Stadt Trier;
Angemeldet;TN;;;67063;Sommer;Sebastian;20.08.2011;;0;Ludwigshafen;Rheinland-Pfalz;15;kreisfreie Stadt Ludwigshafen;
Angemeldet;TN;;;67063;Thiele;Theresa;09.01.2008;;0;Ludwigshafen;Rheinland-Pfalz;18;kreisfreie Stadt Ludwigshafen;
Angemeldet;TN;;;65183;Urban;Ulrike;31.03.2012;;0;Wiesbaden;Hessen;14;kreisfreie Stadt Wiesbaden;
Angemeldet;TN;;;65183;Vogel;Vincent;24.05.2010;;0;Wiesbaden;Hessen;16;kreisfreie Stadt Wiesbaden;
Angemeldet;TN;;;60311;Walter;Wendy;06.07.2007;;0;Frankfurt;Hessen;19;kreisfreie Stadt Frankfurt;
Angemeldet;TN;;;60311;Xander;Xenia;19.09.2013;;0;Frankfurt;Hessen;13;kreisfreie Stadt Frankfurt;
Angemeldet;TN;;;50667;Yaeger;Yannick;01.11.2009;;0;Köln;Nordrhein-Westfalen;17;kreisfreie Stadt Köln;
Angemeldet;MA;;;56564;Albrecht;Anton;10.04.1985;;0;Neuwied;Rheinland-Pfalz;41;Landkreis Neuwied;
Angemeldet;MA;;;56470;Bach;Bettina;22.06.1990;;0;Bad Marienberg;Rheinland-Pfalz;36;Westerwaldkreis;
Angemeldet;MA;;;57610;Cramer;Christoph;04.08.1988;;0;Altenkirchen;Rheinland-Pfalz;38;Landkreis Altenkirchen;
Angemeldet;MA;;;65183;Dorn;Daniela;27.10.1992;;0;Wiesbaden;Hessen;34;kreisfreie Stadt Wiesbaden;
